id,date,hour,day_of_week,day_name,month,is_weekend,is_holiday,is_festival,festival_type,special_event,weather,temperature,rainfall,previous_hour_visitors,previous_day_visitors,entry_rate,exit_rate,queue_length,number_of_open_gates,staff_available,average_service_time,waiting_time,visitor_count,crowd_level,risk_level,incident_count
1,2025-01-01,0,2,Wednesday,1,0,0,0,None,0,Clear,13.3,0.0,1500,3500,297,247,167,2,15,2.89,33.6,562,LOW,LOW,0
2,2025-01-01,1,2,Wednesday,1,0,0,0,None,0,Clear,13.8,0.0,562,3500,59,59,60,2,20,2.85,13.6,128,LOW,LOW,0
3,2025-01-01,2,2,Wednesday,1,0,0,0,None,0,Clear,14.8,0.0,128,3500,146,115,83,2,25,2.67,19.9,314,LOW,LOW,0
4,2025-01-01,3,2,Wednesday,1,0,0,0,None,0,Clear,17.0,0.0,314,3500,27,24,27,4,26,2.78,9.6,50,LOW,LOW,0
5,2025-01-01,4,2,Wednesday,1,0,0,0,None,0,Clear,16.0,0.0,50,3500,237,205,126,2,27,2.63,29.0,524,LOW,LOW,0
6,2025-01-01,5,2,Wednesday,1,0,0,0,None,0,Clear,20.0,0.0,524,3500,504,403,377,4,24,2.48,34.6,1123,LOW,LOW,0
7,2025-01-01,6,2,Wednesday,1,0,0,0,None,0,Light Rain,18.4,10.6,1123,3500,1050,863,581,3,23,2.9,72.0,2037,LOW,LOW,0
8,2025-01-01,7,2,Wednesday,1,0,0,0,None,0,Light Rain,20.8,5.0,2037,3500,1423,1201,2032,2,16,3.15,347.4,3210,MODERATE,CRITICAL,0
9,2025-01-01,8,2,Wednesday,1,0,0,0,None,0,Light Rain,24.6,12.8,3210,3500,1575,1502,1847,3,16,3.02,212.8,3628,MODERATE,HIGH,0
10,2025-01-01,9,2,Wednesday,1,0,0,0,None,0,Clear,23.2,0.0,3628,3500,1745,1397,2018,3,22,2.76,226.9,3454,MODERATE,HIGH,0
11,2025-01-01,10,2,Wednesday,1,0,0,0,None,0,Clear,24.4,0.0,3454,3500,1609,1158,2262,2,19,2.63,386.4,3002,MODERATE,CRITICAL,0
12,2025-01-01,11,2,Wednesday,1,0,0,0,None,0,Clear,26.0,0.0,3002,3500,1094,829,799,3,16,3.31,99.2,2084,LOW,MEDIUM,0
13,2025-01-01,12,2,Wednesday,1,0,0,0,None,0,Clear,23.4,0.0,2084,3500,738,506,438,3,20,2.77,57.6,1366,LOW,LOW,0
14,2025-01-01,13,2,Wednesday,1,0,0,0,None,0,Clear,23.0,0.0,1366,3500,493,400,339,4,28,2.83,33.2,998,LOW,LOW,0
15,2025-01-01,14,2,Wednesday,1,0,0,0,None,0,Cloudy,23.3,0.0,998,3500,567,406,419,2,28,2.42,80.5,1156,LOW,LOW,0
16,2025-01-01,15,2,Wednesday,1,0,0,0,None,0,Cloudy,24.2,0.0,1156,3500,772,656,455,3,24,2.53,57.2,1464,LOW,LOW,0
17,2025-01-01,16,2,Wednesday,1,0,0,0,None,0,Clear,22.4,0.0,1464,3500,1212,993,804,4,24,3.24,76.7,2335,LOW,LOW,0
18,2025-01-01,17,2,Wednesday,1,0,0,0,None,0,Clear,20.0,0.0,2335,3500,1637,1222,1177,4,29,2.74,104.1,3101,MODERATE,MEDIUM,0
19,2025-01-01,18,2,Wednesday,1,0,0,0,None,0,Clear,20.3,0.0,3101,3500,1788,1811,2156,3,16,2.74,247.3,3633,MODERATE,HIGH,0
20,2025-01-01,19,2,Wednesday,1,0,0,0,None,0,Clear,19.5,0.0,3633,3500,1922,1527,1705,4,28,2.85,149.2,3580,MODERATE,MEDIUM,0
21,2025-01-01,20,2,Wednesday,1,0,0,0,None,0,Cloudy,17.0,0.0,3580,3500,1424,1040,1476,3,16,2.59,172.2,2927,LOW,MEDIUM,0
22,2025-01-01,21,2,Wednesday,1,0,0,0,None,0,Cloudy,14.0,0.0,2927,3500,815,835,643,3,26,3.11,83.8,1885,LOW,LOW,0
23,2025-01-01,22,2,Wednesday,1,0,0,0,None,0,Heavy Rain,12.6,38.9,1885,3500,436,375,332,2,21,3.13,62.3,1060,LOW,LOW,0
24,2025-01-01,23,2,Wednesday,1,0,0,0,None,0,Cloudy,14.7,0.0,1060,3500,103,94,121,4,26,2.33,14.7,215,LOW,LOW,0
25,2025-01-02,0,3,Thursday,1,0,0,0,None,0,Clear,14.6,0.0,215,43836,223,178,66,2,22,2.51,21.1,474,LOW,LOW,0
26,2025-01-02,1,3,Thursday,1,0,0,0,None,0,Clear,17.2,0.0,474,43836,177,192,151,3,17,2.95,23.2,432,LOW,LOW,0
27,2025-01-02,2,3,Thursday,1,0,0,0,None,0,Clear,14.7,0.0,432,43836,258,278,173,3,29,2.57,27.9,564,LOW,LOW,0
28,2025-01-02,3,3,Thursday,1,0,0,0,None,0,Clear,15.8,0.0,564,43836,170,157,82,3,28,2.4,13.7,334,LOW,LOW,0
29,2025-01-02,4,3,Thursday,1,0,0,0,None,0,Heavy Rain,14.8,38.3,334,43836,204,160,176,3,28,2.73,29.6,387,LOW,LOW,0
30,2025-01-02,5,3,Thursday,1,0,0,0,None,0,Clear,18.7,0.0,387,43836,570,522,380,4,29,2.17,36.0,1174,LOW,LOW,0
31,2025-01-02,6,3,Thursday,1,0,0,0,None,0,Cloudy,20.9,0.0,1174,43836,881,932,924,2,22,2.74,158.8,2156,LOW,MEDIUM,0
32,2025-01-02,7,3,Thursday,1,0,0,0,None,0,Clear,20.8,0.0,2156,43836,1217,1071,1043,4,25,2.9,93.0,2953,LOW,MEDIUM,0
33,2025-01-02,8,3,Thursday,1,0,0,0,None,0,Cloudy,21.4,0.0,2953,43836,1625,1703,1863,3,23,2.53,213.3,3506,MODERATE,HIGH,0
